Gene	Parameter1	Parameter2
ADAMTS16	188.799531637551	258208
ADAMTS17	230.710014857494	257772
ADAMTS18	195.942804207929	256978
ADAMTS19	104.515954244835	257906
ADAMTS2	123.227621362834	256870
ADAMTS20	252.442685153799	256868
ADAMTS3	225.695478980318	257584
ADAMTS4	135.607801111325	257894
ADAMTS5	119.282577709082	256992
ADAMTS6	81.5406696336841	257150
ADAMTS7	148.565800849746	256080
ADAMTS8	172.288256455792	257570
ADAMTS9	162.85848151073	258160
ADAMTSL1	234.81245248972	258218
ADAMTSL2	35.7908658793035	256986
ADAMTSL3	190.547667402394	257160
ADAMTSL4	157.939918880686	256968
ADAMTSL5	50.8028800297403	257120
ADAP1	13.894212193495	254604
ADAP2	6.59718128412108	256990
ADAR	108.366010447257	257164
ADARB1	115.117893499508	258222
ADARB2	210.45307831183	258190
ADAT1	243.953944603119	257166
ADAT2	7.6806671656102	258188
ADAT3	13.1876842596039	248108
ADC	39.8263546374361	258222
ADCK1	163.290431926019	257590
ADCK2	34.9175658202794	257904
ADCK5	20.4470581408797	256170
ADCY1	73.7561629974698	255866
ADCY10	87.2759937499474	255872
ADCY2	112.23255784344	257164
ADCY3	249.848911629987	257770
ADCY4	203.662946358944	258230
ADCY5	164.352513192912	258232
ADCY6	323.955070088693	257590
ADCY7	261.557814712806	256090
ADCY8	194.990765446913	256080
ADCY9	289.411458342485	255872
ADCYAP1	3.96120274089435	254218
ADCYAP1R1	51.9696853937935	256992
ADD1	8.66588426724031	257866
ADD2	4.40147230279586	257134
ADD3	11.2990393262754	256834
ADH1A	17.5438437654001	256980
ADH1B	25.5947939175599	257150
ADH4	12.3399107673145	255702
ADH5	12.5329551389156	257538
ADH6	6.37247565265148	258080
ADH7	13.2432993019802	257706
ADHFE1	89.0221968452301	257132
ADI1	51.9467038846408	255850
ADIPOQ	101.830310311929	257772
ADIPOR1	47.6065930133633	257168
ADIPOR2	33.5712175698971	256818
ADIRF	0	257772
ADK	104.081165696364	256862
ADM	0.224400238505685	256092
ADM2	0.0093604869621241	257772
ADM5	0	255872
ADNP	25.9109142602715	256972
ADNP2	46.9650202049078	255842
ADO	2.60654484537696	247230
ADORA1	8.7735488402736	258178
ADORA2A	35.7317951382144	257162
ADORA2B	38.005133782447	257158
ADORA3	19.9237630748762	258212
ADPGK	17.4802459938933	256060
ADPRH	13.3316677031396	255828
ADPRHL1	17.447408106028	257896
ADPRHL2	3.70910411624333	257578
ADPRM	104.161760584165	258208
ADRA1A	79.3353680498523	258194
ADRA1B	22.5164667958715	255984
ADRA2B	66.7507422403829	256818
ADRA2C	16.3503231768643	255634
ADRB2	15.4464045613921	256092
ADRB3	28.0395672639103	252688
ADRM1	32.0358217308151	257766
ADSL	352.37122187932	255872
ADSS	13.2686440432564	256920
ADSSL1	168.842977525547	255864
ADTRP	4.23900420783124	257710
AEBP1	308.162475309474	258144
AEBP2	14.7998842309206	257100
AEN	33.5358497056029	256048
AES	1.3061960741807	256074
AFAP1	23.7745177172366	257168
AFAP1L1	70.5337241386249	257896
AFAP1L2	30.6615376426187	256878
AFF1	162.18662788853	257582
AFF3	128.63373710747	255868
AFF4	76.8844056859007	255870
AFG3L2	180.569520012033	256092
AFM	99.4498260634626	257064
AFMID	22.2907938336633	257860
AFP	45.0442260552514	256930
AFTPH	7.46207148240767	257092
AGA	155.853585749462	256088
AGAP1	116.354403002187	257172
AGAP2	22.6283811727881	255870
AGAP2-AS1	1.12118790607046	257912
AGAP3	73.9186048796909	257138
AGBL1	39.5258811220447	257102
AGBL2	7.53484478594546	257148
AGBL4	8.76794945267859	257834
AGBL5	20.3931374375934	256054
AGER	30.0272908559465	252474
AGFG1	1.38828516785116	221496
AGFG2	5.22902526645535	256074
AGGF1	88.9644007602599	256058
AGK	14.4446144138321	258110
AGL	441.96675113672	256088
AGMAT	138.205178504925	256084
AGMO	94.5595494350609	255796
AGO1	4.52314375059809	255760
AGO2	6.34580685795037	258202
AGO3	14.8010888467789	257632
AGO4	13.4163404636054	255762
AGPAT1	43.8570386117428	256940
AGPAT2	167.016096084647	255582
AGPAT3	71.0132825323008	256992
AGPAT4	59.5357864525727	257588
AGPAT5	131.147955488736	257130
AGPAT6	108.599778780659	255872
AGPAT9	129.384246442979	257758
AGPS	140.255843126869	257162
AGR2	2.15773716378308	256826
AGR3	8.141464317697	255656
AGRN	350.838226019176	256868
AGRP	0.00685177185617556	257172
AGT	116.494319191235	256992
AGTPBP1	4.48086029449906	256472
AGTR1	29.1042504344343	258094
AGTRAP	0.0293924341256633	258232
AGXT	315.143083278576	255842
AGXT2	161.103724956702	257116
AHCTF1	30.8754683720523	256614
AHCY	157.094872177161	256084
AHCYL1	79.3547603152038	257738
AHCYL2	96.8920280992487	258188
AHDC1	1.16140582842827	255220
AHI1	55.7820933618323	257550
AHNAK	9.28545934959217	256886
AHR	13.3067017281986	258206
AHRR	53.160824925137	255772
AHSA1	31.2675030687908	257592
AHSA2	1.07383700421984	257070
AHSG	6.08018901354348	257160
AHSP	13.1946541892939	257562
AICDA	16.9390180368286	256036
AIDA	0.0791291597640638	255872
AIF1	4.04494411772591	256944
AIF1L	7.32868712830805	257768
AIFM2	20.961974737219	257702
AIFM3	67.944606718964	257588
AIG1	6.20226505490068	256682
AIM1L	116.898201618414	257164
AIM2	0	256092
AIMP1	14.5803749336635	256824
AIMP2	11.4356009960277	257082
AIP	107.932620525613	257170
AIPL1	199.83535320634	258226
AIRE	239.096688650862	257354
AJAP1	0	257772
AJUBA	69.7279252474372	257160
AK1	36.2729762807109	257746
AK2	87.7497641943866	255860
AK3	119.939960012198	256810
AK4	21.9544037762362	257420
AK5	53.1936935229163	257088
AK7	124.086517739385	257156
AK8	82.9190567936499	256090
AK9	74.3564347469869	256018
AKAP1	1.25940752705936	255826
AKAP10	0.0805040852529807	257772
AKAP11	2.18521004948187	256578
AKAP12	5.09552306794676	255420
AKAP13	52.2776736134891	258174
AKAP2	0.161731795251348	256992
AKAP3	0	257772
AKAP5	0.0334288188477831	256892
AKAP6	10.3531766788439	255612
AKAP7	9.24851635366069	257416
AKAP8	14.1245385577177	256860
AKAP8L	0.0952856155898502	257172
AKAP9	0.007121459836394	257772
AKIP1	3.0918299243959	258214
AKIRIN1	24.7041239199585	256790
AKIRIN2	3.60201505792705	256688
AKNA	0.204286388269664	256992
AKNAD1	0	255872
AKR1A1	32.6298511375932	257720
AKR1B1	4.43937234578621	255866
AKR1B10	7.54987119140703	257724
AKR1B15	11.2005565668234	257584
AKR1C1	21.3407435846324	257768
AKR1C2	19.342006372516	256072
AKR1C3	13.1941972280678	255838
AKR1C4	30.4041578292445	256816
AKR1D1	42.7064950051402	257134
AKR1E2	34.6359769222719	257164
AKR7A2	17.5570523395079	257764
AKR7A3	12.1482164443686	257892
AKR7L	0.0346188789795569	258232
AKT1	19.9760699233868	256894
AKT1S1	3.13853642318411	258048
AKT2	23.1947491118828	257772
AKT3	11.8500250204201	253846
AKTIP	43.2215038445265	256888
ALAD	211.07142888871	256870
ALAS1	350.691711651675	257168
ALB	75.976459874841	256962
ALCAM	16.6740674616348	256788
ALDH16A1	98.2021439219433	255968
ALDH18A1	233.234928276448	256878
ALDH1A1	62.1964855845411	257652
ALDH1A2	67.7246753556933	256938
ALDH1A3	78.055467665097	258218
ALDH1B1	236.495687187942	256092
ALDH1L1	273.474450324302	256090
ALDH1L2	217.874032717849	257588
ALDH2	206.716622075188	258230
ALDH3A1	235.616296489596	256086
ALDH3A2	143.75318393977	256890
ALDH3B1	0	257172
ALDH3B2	256.371347937475	258218
ALDH4A1	159.073877925841	257770
ALDH5A1	200.28865730324	257172
ALDH6A1	218.66776640235	258206
ALDH7A1	267.810045981529	258230
ALDH8A1	149.593344626824	255858
ALDH9A1	199.34877736453	256748
ALDOA	278.251777595662	256092
ALDOB	316.045548067425	257128
ALDOC	178.166358253712	255872
ALG1	148.622569226259	257592
ALG10	32.2641204141643	257162
ALG10B	60.4569826795175	258224
ALG12	155.201914362419	256092
ALG14	42.4269296676962	257114
ALG1L	66.2698674070237	255742
ALG2	155.257705236985	256890
ALG3	188.793296590048	257096
ALG5	47.286039894395	256742
ALG6	148.146663966855	258176
ALG8	138.836620705115	256070
ALG9	84.3816397510961	257114
ALK	287.40059045564	255864
ALKBH1	12.4378862154725	258212
ALKBH2	10.381560232361	253976
ALKBH3	7.4533950585125	256088
ALKBH4	36.8857023275268	255918
ALKBH5	0.152481546797206	258232
ALKBH6	3.642431654069	257570
ALKBH7	13.4106134949897	257318
ALKBH8	26.4140199304595	163188
ALLC	95.4288405888327	257158
ALMS1	0	257772
ALOX12	107.257493660898	257170
ALOX12B	195.954998281773	257912
ALOX15	69.4173102549209	257170
ALOX15B	276.669885812868	257170
ALOX5	270.178389486018	255872
ALOX5AP	13.5381082224807	255850
ALOXE3	277.486558690941	257772
ALPI	424.469811476979	257890
ALPK1	0.00872392160040471	257592
ALPK2	50.1245287210781	258132
ALPK3	68.4106812403686	257742
ALPL	380.584992701841	256892
ALPP	363.721892635696	255862
ALPPL2	265.479395303508	257848
